"CODIGO_CARGO","SIGLA_PARTIDO","NUM_TURNO","DESCRICAO_CARGO","ANO_ELEICAO","NUMERO_PARTIDO","NUMERO_CANDIDATO","UF","NOME_CANDIDATO","QTDE_VOTOS"
"1","PCB","1","PRESIDENTE","2014","21","21","AC","MAURO LUÍS IASI","68"
"1","PCB","1","PRESIDENTE","2014","21","21","AL","MAURO LUÍS IASI","892"
"1","PCB","1","PRESIDENTE","2014","21","21","AM","MAURO LUÍS IASI","545"
"1","PCB","1","PRESIDENTE","2014","21","21","AP","MAURO LUÍS IASI","162"
"1","PCB","1","PRESIDENTE","2014","21","21","BA","MAURO LUÍS IASI","2890"
"1","PCB","1","PRESIDENTE","2014","21","21","CE","MAURO LUÍS IASI","1832"
"1","PCB","1","PRESIDENTE","2014","21","21","DF","MAURO LUÍS IASI","559"
"1","PCB","1","PRESIDENTE","2014","21","21","ES","MAURO LUÍS IASI","723"
"1","PCB","1","PRESIDENTE","2014","21","21","GO","MAURO LUÍS IASI","1256"
"1","PCB","1","PRESIDENTE","2014","21","21","MA","MAURO LUÍS IASI","1151"
"1","PCB","1","PRESIDENTE","2014","21","21","MG","MAURO LUÍS IASI","5469"
"1","PCB","1","PRESIDENTE","2014","21","21","MS","MAURO LUÍS IASI","390"
"1","PCB","1","PRESIDENTE","2014","21","21","MT","MAURO LUÍS IASI","529"
"1","PCB","1","PRESIDENTE","2014","21","21","PA","MAURO LUÍS IASI","833"
"1","PCB","1","PRESIDENTE","2014","21","21","PB","MAURO LUÍS IASI","796"
"1","PCB","1","PRESIDENTE","2014","21","21","PE","MAURO LUÍS IASI","1719"
"1","PCB","1","PRESIDENTE","2014","21","21","PI","MAURO LUÍS IASI","487"
"1","PCB","1","PRESIDENTE","2014","21","21","PR","MAURO LUÍS IASI","2409"
"1","PCB","1","PRESIDENTE","2014","21","21","RJ","MAURO LUÍS IASI","8548"
"1","PCB","1","PRESIDENTE","2014","21","21","RN","MAURO LUÍS IASI","641"
"1","PCB","1","PRESIDENTE","2014","21","21","RO","MAURO LUÍS IASI","208"
"1","PCB","1","PRESIDENTE","2014","21","21","RR","MAURO LUÍS IASI","71"
"1","PCB","1","PRESIDENTE","2014","21","21","RS","MAURO LUÍS IASI","2301"
"1","PCB","1","PRESIDENTE","2014","21","21","SC","MAURO LUÍS IASI","1413"
"1","PCB","1","PRESIDENTE","2014","21","21","SE","MAURO LUÍS IASI","764"
"1","PCB","1","PRESIDENTE","2014","21","21","SP","MAURO LUÍS IASI","10667"
"1","PCB","1","PRESIDENTE","2014","21","21","TO","MAURO LUÍS IASI","261"
"1","PCB","1","PRESIDENTE","2014","21","21","ZZ","MAURO LUÍS IASI","261"
"1","PCO","1","PRESIDENTE","2014","29","29","AC","RUI COSTA PIMENTA","14"
"1","PCO","1","PRESIDENTE","2014","29","29","AL","RUI COSTA PIMENTA","125"
"1","PCO","1","PRESIDENTE","2014","29","29","AM","RUI COSTA PIMENTA","98"
"1","PCO","1","PRESIDENTE","2014","29","29","AP","RUI COSTA PIMENTA","21"
"1","PCO","1","PRESIDENTE","2014","29","29","BA","RUI COSTA PIMENTA","555"
"1","PCO","1","PRESIDENTE","2014","29","29","CE","RUI COSTA PIMENTA","342"
"1","PCO","1","PRESIDENTE","2014","29","29","DF","RUI COSTA PIMENTA","473"
"1","PCO","1","PRESIDENTE","2014","29","29","ES","RUI COSTA PIMENTA","215"
"1","PCO","1","PRESIDENTE","2014","29","29","GO","RUI COSTA PIMENTA","301"
"1","PCO","1","PRESIDENTE","2014","29","29","MA","RUI COSTA PIMENTA","158"
"1","PCO","1","PRESIDENTE","2014","29","29","MG","RUI COSTA PIMENTA","1489"
"1","PCO","1","PRESIDENTE","2014","29","29","MS","RUI COSTA PIMENTA","97"
"1","PCO","1","PRESIDENTE","2014","29","29","MT","RUI COSTA PIMENTA","101"
"1","PCO","1","PRESIDENTE","2014","29","29","PA","RUI COSTA PIMENTA","207"
"1","PCO","1","PRESIDENTE","2014","29","29","PB","RUI COSTA PIMENTA","247"
"1","PCO","1","PRESIDENTE","2014","29","29","PE","RUI COSTA PIMENTA","322"
"1","PCO","1","PRESIDENTE","2014","29","29","PI","RUI COSTA PIMENTA","151"
"1","PCO","1","PRESIDENTE","2014","29","29","PR","RUI COSTA PIMENTA","560"
"1","PCO","1","PRESIDENTE","2014","29","29","RJ","RUI COSTA PIMENTA","1450"
"1","PCO","1","PRESIDENTE","2014","29","29","RN","RUI COSTA PIMENTA","162"
"1","PCO","1","PRESIDENTE","2014","29","29","RO","RUI COSTA PIMENTA","63"
"1","PCO","1","PRESIDENTE","2014","29","29","RR","RUI COSTA PIMENTA","48"
"1","PCO","1","PRESIDENTE","2014","29","29","RS","RUI COSTA PIMENTA","505"
"1","PCO","1","PRESIDENTE","2014","29","29","SC","RUI COSTA PIMENTA","390"
"1","PCO","1","PRESIDENTE","2014","29","29","SE","RUI COSTA PIMENTA","142"
"1","PCO","1","PRESIDENTE","2014","29","29","SP","RUI COSTA PIMENTA","3971"
"1","PCO","1","PRESIDENTE","2014","29","29","TO","RUI COSTA PIMENTA","44"
"1","PCO","1","PRESIDENTE","2014","29","29","ZZ","RUI COSTA PIMENTA","73"
"1","PRTB","1","PRESIDENTE","2014","28","28","AC","JOSÉ LEVY FIDELIX DA CRUZ","639"
"1","PRTB","1","PRESIDENTE","2014","28","28","AL","JOSÉ LEVY FIDELIX DA CRUZ","7069"
"1","PRTB","1","PRESIDENTE","2014","28","28","AM","JOSÉ LEVY FIDELIX DA CRUZ","10261"
"1","PRTB","1","PRESIDENTE","2014","28","28","AP","JOSÉ LEVY FIDELIX DA CRUZ","1549"
"1","PRTB","1","PRESIDENTE","2014","28","28","BA","JOSÉ LEVY FIDELIX DA CRUZ","15336"
"1","PRTB","1","PRESIDENTE","2014","28","28","CE","JOSÉ LEVY FIDELIX DA CRUZ","15971"
"1","PRTB","1","PRESIDENTE","2014","28","28","DF","JOSÉ LEVY FIDELIX DA CRUZ","15270"
"1","PRTB","1","PRESIDENTE","2014","28","28","ES","JOSÉ LEVY FIDELIX DA CRUZ","9021"
"1","PRTB","1","PRESIDENTE","2014","28","28","GO","JOSÉ LEVY FIDELIX DA CRUZ","12393"
"1","PRTB","1","PRESIDENTE","2014","28","28","MA","JOSÉ LEVY FIDELIX DA CRUZ","6707"
"1","PRTB","1","PRESIDENTE","2014","28","28","MG","JOSÉ LEVY FIDELIX DA CRUZ","25939"
"1","PRTB","1","PRESIDENTE","2014","28","28","MS","JOSÉ LEVY FIDELIX DA CRUZ","4623"
"1","PRTB","1","PRESIDENTE","2014","28","28","MT","JOSÉ LEVY FIDELIX DA CRUZ","4462"
"1","PRTB","1","PRESIDENTE","2014","28","28","PA","JOSÉ LEVY FIDELIX DA CRUZ","11501"
"1","PRTB","1","PRESIDENTE","2014","28","28","PB","JOSÉ LEVY FIDELIX DA CRUZ","7539"
"1","PRTB","1","PRESIDENTE","2014","28","28","PE","JOSÉ LEVY FIDELIX DA CRUZ","11498"
"1","PRTB","1","PRESIDENTE","2014","28","28","PI","JOSÉ LEVY FIDELIX DA CRUZ","2338"
"1","PRTB","1","PRESIDENTE","2014","28","28","PR","JOSÉ LEVY FIDELIX DA CRUZ","33612"
"1","PRTB","1","PRESIDENTE","2014","28","28","RJ","JOSÉ LEVY FIDELIX DA CRUZ","65015"
